location,month,temp_mean_c,source
fuessen,1956-04,2.88,ERA5/Open-Meteo
fuessen,1956-05,9.85,ERA5/Open-Meteo
fuessen,1956-06,11.52,ERA5/Open-Meteo
fuessen,1956-07,15.37,ERA5/Open-Meteo
fuessen,1956-08,14.23,ERA5/Open-Meteo
fuessen,1956-09,13.42,ERA5/Open-Meteo
fuessen,1956-10,5.69,ERA5/Open-Meteo
fuessen,1956-11,-0.88,ERA5/Open-Meteo
fuessen,1956-12,-4.7,ERA5/Open-Meteo
fuessen,1957-01,-5.06,ERA5/Open-Meteo
fuessen,1957-02,0.53,ERA5/Open-Meteo
fuessen,1957-03,3.49,ERA5/Open-Meteo
fuessen,1957-04,5.19,ERA5/Open-Meteo
fuessen,1957-05,6.96,ERA5/Open-Meteo
fuessen,1957-06,14.51,ERA5/Open-Meteo
fuessen,1957-07,15.67,ERA5/Open-Meteo
fuessen,1957-08,13.95,ERA5/Open-Meteo
fuessen,1957-09,11.17,ERA5/Open-Meteo
fuessen,1957-10,7.47,ERA5/Open-Meteo
fuessen,1957-11,3.34,ERA5/Open-Meteo
fuessen,1957-12,-5.7,ERA5/Open-Meteo
fuessen,1958-01,-4.22,ERA5/Open-Meteo
fuessen,1958-02,-0.35,ERA5/Open-Meteo
fuessen,1958-03,-2.41,ERA5/Open-Meteo
fuessen,1958-04,2.08,ERA5/Open-Meteo
fuessen,1958-05,11.51,ERA5/Open-Meteo
fuessen,1958-06,12.83,ERA5/Open-Meteo
fuessen,1958-07,15.7,ERA5/Open-Meteo
fuessen,1958-08,16.09,ERA5/Open-Meteo
fuessen,1958-09,13.68,ERA5/Open-Meteo
fuessen,1958-10,6.71,ERA5/Open-Meteo
fuessen,1958-11,2.55,ERA5/Open-Meteo
fuessen,1958-12,-0.2,ERA5/Open-Meteo
fuessen,1959-01,-4.32,ERA5/Open-Meteo
fuessen,1959-02,-1.97,ERA5/Open-Meteo
fuessen,1959-03,2.66,ERA5/Open-Meteo
fuessen,1959-04,6.18,ERA5/Open-Meteo
fuessen,1959-05,10.19,ERA5/Open-Meteo
fuessen,1959-06,13.43,ERA5/Open-Meteo
fuessen,1959-07,16.76,ERA5/Open-Meteo
fuessen,1959-08,14.87,ERA5/Open-Meteo
fuessen,1959-09,12.8,ERA5/Open-Meteo
fuessen,1959-10,7.32,ERA5/Open-Meteo
fuessen,1959-11,-0.58,ERA5/Open-Meteo
